year_week,interactions_total,volume,week_start,er_ecosystem,candidate_id,candidate_label,er_gregoire_solo
2025-W01,405,4,2025-01-02,0.000456081081081,ecosysteme_gauche,Écosystème Gauche Unie,
2025-W02,6228,45,2025-01-06,0.0006234234234234,ecosysteme_gauche,Écosystème Gauche Unie,0.000508064516129
2025-W03,22760,48,2025-01-13,0.0021358858858858,ecosysteme_gauche,Écosystème Gauche Unie,0.0005564516129032
2025-W04,28292,42,2025-01-20,0.00303432003432,ecosysteme_gauche,Écosystème Gauche Unie,0.0008225806451612
2025-W05,67081,36,2025-01-27,0.0083935185185185,ecosysteme_gauche,Écosystème Gauche Unie,0.0007903225806451
2025-W06,21108,28,2025-02-03,0.0033957528957528,ecosysteme_gauche,Écosystème Gauche Unie,0.0008951612903225
2025-W07,24024,41,2025-02-10,0.0026394199077125,ecosysteme_gauche,Écosystème Gauche Unie,0.0003709677419354
2025-W08,26080,31,2025-02-17,0.0037895960476605,ecosysteme_gauche,Écosystème Gauche Unie,0.0009193548387096
2025-W09,13100,18,2025-02-24,0.0032782782782782,ecosysteme_gauche,Écosystème Gauche Unie,0.0008548387096774
2025-W10,14424,10,2025-03-03,0.0064972972972972,ecosysteme_gauche,Écosystème Gauche Unie,
2025-W11,18661,30,2025-03-10,0.0028019519519519,ecosysteme_gauche,Écosystème Gauche Unie,0.0011612903225806
2025-W12,13820,42,2025-03-17,0.0014821964821964,ecosysteme_gauche,Écosystème Gauche Unie,0.0006290322580645
2025-W13,21845,55,2025-03-24,0.0017891072891072,ecosysteme_gauche,Écosystème Gauche Unie,0.0004354838709677
2025-W14,76538,32,2025-03-31,0.0107739301801801,ecosysteme_gauche,Écosystème Gauche Unie,0.0008467741935483
2025-W15,16621,45,2025-04-07,0.0016637637637637,ecosysteme_gauche,Écosystème Gauche Unie,0.0010483870967741
2025-W16,22853,22,2025-04-14,0.0046791564291564,ecosysteme_gauche,Écosystème Gauche Unie,0.0015645161290322
2025-W17,12080,44,2025-04-21,0.0012366912366912,ecosysteme_gauche,Écosystème Gauche Unie,0.000274193548387
2025-W18,9700,28,2025-04-28,0.001560489060489,ecosysteme_gauche,Écosystème Gauche Unie,0.0006048387096774
2025-W19,690,9,2025-05-06,0.0003453453453453,ecosysteme_gauche,Écosystème Gauche Unie,0.0006129032258064
2025-W20,8138,26,2025-05-12,0.0014099099099099,ecosysteme_gauche,Écosystème Gauche Unie,0.0009354838709677
2025-W21,29201,37,2025-05-19,0.0035550280009739,ecosysteme_gauche,Écosystème Gauche Unie,0.0007258064516129
2025-W22,10325,40,2025-05-26,0.0011627252252252,ecosysteme_gauche,Écosystème Gauche Unie,0.0009354838709677
2025-W23,2242,8,2025-06-03,0.0012623873873873,ecosysteme_gauche,Écosystème Gauche Unie,
2025-W24,743,10,2025-06-09,0.0003346846846846,ecosysteme_gauche,Écosystème Gauche Unie,0.0008709677419354
2025-W25,7860,56,2025-06-16,0.0006322393822393,ecosysteme_gauche,Écosystème Gauche Unie,0.0013387096774193
2025-W26,29477,81,2025-06-23,0.0016392503614725,ecosysteme_gauche,Écosystème Gauche Unie,0.0010645161290322
2025-W27,46706,84,2025-06-30,0.0025046117546117,ecosysteme_gauche,Écosystème Gauche Unie,0.0014354838709677
2025-W28,24904,65,2025-07-07,0.0017258489258489,ecosysteme_gauche,Écosystème Gauche Unie,0.001508064516129
2025-W29,87927,52,2025-07-14,0.0076166839916839,ecosysteme_gauche,Écosystème Gauche Unie,0.0011935483870967
2025-W30,60623,61,2025-07-21,0.0044766651897799,ecosysteme_gauche,Écosystème Gauche Unie,0.0007177419354838
2025-W31,87642,23,2025-07-28,0.0171645123384253,ecosysteme_gauche,Écosystème Gauche Unie,0.0012903225806451
2025-W32,28321,27,2025-08-04,0.0047248915582248,ecosysteme_gauche,Écosystème Gauche Unie,0.001758064516129
2025-W33,20041,31,2025-08-11,0.0029120895088637,ecosysteme_gauche,Écosystème Gauche Unie,0.0028387096774193
2025-W34,10546,18,2025-08-18,0.0026391391391391,ecosysteme_gauche,Écosystème Gauche Unie,0.0022983870967741
2025-W35,54767,46,2025-08-25,0.0053630043086564,ecosysteme_gauche,Écosystème Gauche Unie,0.0011048387096774
2025-W36,18643,44,2025-09-01,0.001908579033579,ecosysteme_gauche,Écosystème Gauche Unie,0.0011129032258064
2025-W37,60621,60,2025-09-08,0.0045511261261261,ecosysteme_gauche,Écosystème Gauche Unie,0.0018709677419354
2025-W38,80952,64,2025-09-15,0.0056976351351351,ecosysteme_gauche,Écosystème Gauche Unie,0.0029274193548387
2025-W39,61774,75,2025-09-22,0.0037101501501501,ecosysteme_gauche,Écosystème Gauche Unie,0.0008870967741935
2025-W40,42508,67,2025-09-29,0.0028578727981713,ecosysteme_gauche,Écosystème Gauche Unie,0.0013387096774193
2025-W41,62285,88,2025-10-06,0.0031882166257166,ecosysteme_gauche,Écosystème Gauche Unie,0.0011129032258064
2025-W42,168784,81,2025-10-13,0.0093862751640529,ecosysteme_gauche,Écosystème Gauche Unie,0.0009112903225806
2025-W43,47690,36,2025-10-20,0.0059672172172172,ecosysteme_gauche,Écosystème Gauche Unie,0.0047983870967741
2025-W44,76055,79,2025-10-27,0.0043365834188619,ecosysteme_gauche,Écosystème Gauche Unie,0.0013709677419354
2025-W45,25728,64,2025-11-03,0.0018108108108108,ecosysteme_gauche,Écosystème Gauche Unie,0.0027903225806451
2025-W46,56602,58,2025-11-10,0.0043959304131717,ecosysteme_gauche,Écosystème Gauche Unie,0.0011451612903225
2025-W47,33769,56,2025-11-17,0.0027162966537966,ecosysteme_gauche,Écosystème Gauche Unie,0.0033387096774193
2025-W48,46554,54,2025-11-24,0.0038833833833833,ecosysteme_gauche,Écosystème Gauche Unie,0.0033387096774193
2025-W49,44638,69,2025-12-01,0.0029140880010445,ecosysteme_gauche,Écosystème Gauche Unie,0.0016370967741935
2025-W50,43022,61,2025-12-08,0.00317693102939,ecosysteme_gauche,Écosystème Gauche Unie,0.002008064516129
2025-W51,20976,75,2025-12-15,0.0012598198198198,ecosysteme_gauche,Écosystème Gauche Unie,0.0024112903225806
2025-W52,52183,52,2025-12-22,0.0045203568953568,ecosysteme_gauche,Écosystème Gauche Unie,0.0026451612903225
2026-W01,66003,53,2025-12-29,0.0056096379398266,ecosysteme_gauche,Écosystème Gauche Unie,0.0004516129032258
2026-W02,80281,76,2026-01-05,0.0047582385016595,ecosysteme_gauche,Écosystème Gauche Unie,0.0019838709677419
2026-W03,55648,90,2026-01-12,0.0027851851851851,ecosysteme_gauche,Écosystème Gauche Unie,0.0023387096774193
2026-W04,48074,79,2026-01-19,0.0027411335386018,ecosysteme_gauche,Écosystème Gauche Unie,0.00175
2026-W05,32746,85,2026-01-26,0.0017353471118177,ecosysteme_gauche,Écosystème Gauche Unie,0.001774193548387
2026-W06,29875,85,2026-02-02,0.0015832008479067,ecosysteme_gauche,Écosystème Gauche Unie,0.0026370967741935
2026-W07,27163,83,2026-02-09,0.0014741669380223,ecosysteme_gauche,Écosystème Gauche Unie,0.002016129032258
2026-W08,2485,16,2026-02-16,0.0006996058558558,ecosysteme_gauche,Écosystème Gauche Unie,0.00125
