tweet_id,candidate_id,candidate,parti,camp,timestamp,text,hashtags,mentions,likes,shares,comments,views,engagement,engagement_rate,year_week,week_start
twitter_2018228593038434790,david_belliard,Belliard,EELV,Gauche,2026-02-02 07:42:00+00:00,4000 m² d’espace rendu aux piétons 🤩,,,102,18,128,11711,266,2.2714,2026-W06,2026-02-02
twitter_2018044407497232445,david_belliard,Belliard,EELV,Gauche,2026-02-01 19:30:00+00:00,"Colère suite aux dégradations commises samedi dans une école primaire juive dans le XXe. Tout mon soutien aux élèves, aux parents, et aux personnels. L'antisémitisme est aux antipodes des valeurs la République et de Paris. Nous continuerons à le combattre inlassablement.",,,33,9,61,5958,112,1.8798,2026-W05,2026-01-26
twitter_2017989975057354970,david_belliard,Belliard,EELV,Gauche,2026-02-01 15:54:00+00:00,"Il y avait beaucoup de monde hier pour célébrer la transformation de la place Félix Éboué dans le 12e. 4000 m² désormais rendus aux piétons, aux enfants, aux habitantes et aux habitants. Profitez-en !",,,62,12,56,8491,142,1.6724,2026-W05,2026-01-26
twitter_2017667664399798776,david_belliard,Belliard,EELV,Gauche,2026-01-31 18:33:00+00:00,"Salle comble pour lancer la campagne du 11e. Merci aux partenaires et en particulier à François Vauglin et aux camarades socialistes 🙏
Notre unité, c’est notre force.
Ensemble nous allons gagner dans le 11e et à Paris avec @egregoire !",,@egregoire,58,19,51,7577,147,1.9401,2026-W05,2026-01-26
twitter_2016921251944480927,david_belliard,Belliard,EELV,Gauche,2026-01-29 17:07:00+00:00,"Encore un drame qui aurait pu être évité. La solution existe, ce sont les dispositifs anti-angles morts. Ils sauvent des vies. Depuis 6 ans, nous demandons aux gouvernements successifs de travailler ensemble sur leur généralisation, sans réponse.",,,30,11,90,5370,142,2.6443,2026-W05,2026-01-26
twitter_2016858098464342329,david_belliard,Belliard,EELV,Gauche,2026-01-29 12:56:00+00:00,Soutien au peuple américain. Ne laissons pas l’extrême droite importer le trumpisme.,,,34,7,92,3487,140,4.0149,2026-W05,2026-01-26
twitter_2016622045602234532,david_belliard,Belliard,EELV,Gauche,2026-01-28 21:18:00+00:00,"Sur BFM, Cnews et TF1, c'est tapis rouge pour Knafo/Dati. Sans aucune équité, ces groupes roulent pour la droite et l'extrême droite, sans complexe ni sanction . C'est une honte, l'Arcom doit intervenir.",,,133,25,250,15271,433,2.8354,2026-W05,2026-01-26
twitter_2016540691111800835,david_belliard,Belliard,EELV,Gauche,2026-01-28 15:55:00+00:00,"Le 31 janvier je serai avec mes camarades du @PCF_Paris au lancement de campagne de la gauche unie, pour Paris avec @egregoire,
🌱et dans le 11eme avec @David_Belliard. Rejoignez nous, contre l’extrême droite
et pour une ville de Paris + féministe, écolo, solidaire, engagée✊🏽🌎",,@PCF_Paris|@egregoire|@David_Belliard,18,6,5,1316,35,2.6596,2026-W05,2026-01-26
twitter_2016456314327601539,david_belliard,Belliard,EELV,Gauche,2026-01-28 10:20:00+00:00,"Face cam : « Ce n’est pas une fiction, c’est la réalité » Légende : « Images générées par IA » La post-vérité en campagne, ça donne exactement ça",,,2215,197,61,101807,2670,2.6226,2026-W05,2026-01-26
twitter_2016561529164841020,david_belliard,Belliard,EELV,Gauche,2026-01-28 17:18:00+00:00,"Cher @CNEWS, cher @BFMTV, d’évidence, l’élection parisienne vous intéresse. Avec des émissions sur mesure, beaucoup pourraient croire que vous faites campagne pour Mme Dati et Mme Knafo afin « d'influencer » l’opinion. Mais ce n’est pas le cas, n’est-ce pas ? Je suis en tête des sondages. Je vous propose donc un débat en février. Sur vos chaînes. Avec l’ensemble des candidates et candidats. Chiche ?",,@CNEWS|@BFMTV,304,83,0,57787,470,0.8133,2026-W05,2026-01-26
twitter_2016558113776619709,david_belliard,Belliard,EELV,Gauche,2026-01-28 17:04:00+00:00,"⏳Dans une semaine, il sera trop tard pour s’inscrire sur les listes électorales !
RDV ici pour s’inscrire 👉 service-public.gouv.fr/parti…",,,16,7,26,1722,56,3.252,2026-W05,2026-01-26
twitter_2016220635916083598,david_belliard,Belliard,EELV,Gauche,2026-01-27 18:43:00+00:00,"Les mensonges, plus c’est gros plus ça passe. Et « je suis la maire qui a fait le plus de logements sociaux » c’est quand même sacrément gros. On rétablit la vérité ⤵️",,,70,27,79,4624,203,4.3901,2026-W05,2026-01-26
twitter_2016063698956177537,david_belliard,Belliard,EELV,Gauche,2026-01-27 08:20:00+00:00,J’ai appris tôt ce matin avec une profonde tristesse qu’un accident mortel a eu lieu au 119 boulevard Diderot entre un chauffard au volant d’un poids lourd et une cycliste.,,,74,9,169,45587,261,0.5725,2026-W05,2026-01-26
twitter_2016091847756591445,david_belliard,Belliard,EELV,Gauche,2026-01-27 10:12:00+00:00,"Le 27 janvier 1945, le monde découvrait avec effroi le camp d’Auschwitz-Birkenau. Souvenons-nous des victimes de la Shoah et des génocides. Luttons contre le négationnisme, l’antisémitisme et le racisme et pour la prévention des crimes contre l’humanité.",,,14,2,16,1842,34,1.8458,2026-W05,2026-01-26
twitter_2015696805883699273,david_belliard,Belliard,EELV,Gauche,2026-01-26 08:02:00+00:00,"La pollution a baissé à Paris depuis que la gauche est en responsabilité, évitant des milliers de morts chaque année. Je mets au défi quiconque de trouver une étude scientifique qui dit l’inverse. Faire revenir les voitures sur les quais, comme le dit Sarah Knafo, serait une erreur pour notre santé publique.",,,179,64,0,77755,307,0.3948,2026-W05,2026-01-26
twitter_2015772645183164848,david_belliard,Belliard,EELV,Gauche,2026-01-26 13:03:00+00:00,Ce qui est en train de se passer à Paris avec Dati est d’une gravité extrême. C'est maintenant très clair : Rachida Dati est la candidate de l'alliance avec l'extrême droite pour prendre Paris.,,,127,37,424,40729,625,1.5345,2026-W05,2026-01-26
twitter_2015066045069852799,david_belliard,Belliard,EELV,Gauche,2026-01-24 14:15:00+00:00,"Samedi 31 janvier, je vous donne rendez-vous à 14h autour de la fontaine aux lions pour l’inauguration de la nouvelle place Félix Éboué. Venez (re)découvrir cette place comme vous ne l’avez jamais vue ! #FélixÉboué #Paris12",,,26,7,44,11665,84,0.7201,2026-W04,2026-01-19
twitter_2015441996773482567,david_belliard,Belliard,EELV,Gauche,2026-01-25 15:09:00+00:00,"Quand on ne qualifie pas l’extrême droite comme telle, on la banalise. On la légitime. Et on la fait gagner. Cette réponse de madame Dati est une honte.",,,64,25,97,6539,211,3.2268,2026-W04,2026-01-19
twitter_2015390606768419281,david_belliard,Belliard,EELV,Gauche,2026-01-25 11:45:00+00:00,"En campagne dans le 11e 💪🏼✊🏼🚀Aucune voix ne doit manquer à l'union de la gauche et des écologistes face à la droite et l'extrême droite. Pour l'écologie, la solidarité, la démocratie. Vous aussi vous voulez faire campagne ? Rejoignez-nous ! davidbelliard.fr",,,40,17,61,4699,135,2.873,2026-W04,2026-01-19
twitter_2015167577975062981,david_belliard,Belliard,EELV,Gauche,2026-01-24 20:59:00+00:00,"🚀Nous avons fait union, parce que l'avenir de Paris est bien plus important que tout le reste. Et mieux encore nous sommes les seuls à avoir un vrai projet. Il est réaliste, solide, à la hauteur des enjeux. Les parisiens et les Parisiennes commencent à le voir ⬇️",,,53,11,135,10246,210,2.0496,2026-W04,2026-01-19
twitter_2015032041234968614,david_belliard,Belliard,EELV,Gauche,2026-01-24 12:00:00+00:00,"🤡 En 2015, nous avons voté une seconde fois sur la Tour Triangle suite à l'annulation du 1er vote par le tribunal admin. Rachida Dati a fait partie de ces élus LR qui ont alors retourné leur veste en votant POUR la Tour Triangle, permettant l'adoption du projet. Tartuffe.",,,363,80,44,19709,567,2.8769,2026-W04,2026-01-19
twitter_2014077706481127487,david_belliard,Belliard,EELV,Gauche,2026-01-21 20:48:00+00:00,"1) Victoire historique pour la lutte contre les logements vacants !!!
Dans le PLF 2026 est intégré un article permettant une hausse de la taxe sur les logements vacants 100000 à 200000 logements pourront être libérés en France
10000 à 20000 à Paris !",,,59,24,29,3669,136,3.7067,2026-W04,2026-01-19
twitter_2014110765498900539,david_belliard,Belliard,EELV,Gauche,2026-01-21 23:00:00+00:00,Paris has removed the paving from its city hall square and transformed it into an urban forest.,,,19822,1553,330,1921571,23258,1.2104,2026-W04,2026-01-19
twitter_2014333249133199762,david_belliard,Belliard,EELV,Gauche,2026-01-22 13:44:00+00:00,"Ça ne suffit pas d'être sympa dans le Marais une fois à chaque élection. La réalité, c'est que Rachida Dati est la candidate de la manif pour tous version 2026. Jamais elle ne sera alliée des LGBT+.",,,118,52,146,12809,368,2.873,2026-W04,2026-01-19
