candidate_id,year_week,er_median,er_mean,volume,interactions_total,likes_total,comments_total,shares_total,week_start,views_median,platform,candidate_label
emmanuel_gregoire,2025-W51,0.0551242236024844,0.0486288859118864,3,284,213,61,10,2025-12-19,1288.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2025-W52,0.0448484848484848,0.0448859201190105,5,322,279,39,4,2025-12-22,1475.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W01,0.0455089308154847,0.0455089308154847,2,131,124,6,1,2025-12-31,1406.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W02,0.0319063092979127,0.0354654311186477,4,1075,845,193,37,2026-01-05,7792.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W03,0.0391949152542372,0.0413924354557924,11,18907,17609,527,771,2026-01-12,2804.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W04,0.0459459459459459,0.0426805190050507,9,1192,914,183,95,2026-01-20,2038.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W05,0.0391333721478109,0.041274356672456,4,1972,1490,235,247,2026-01-26,4454.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W06,0.0386078415487116,0.0379247677988173,4,995,739,142,114,2026-02-03,2573.0,tiktok,E. Grégoire (PS)
emmanuel_gregoire,2026-W07,0.0447388059701492,0.0458794691439685,5,6128,5751,186,191,2026-02-09,7044.0,tiktok,E. Grégoire (PS)
rachida_dati,2026-W07,0.04465,0.04465,1,893,653,29,211,2026-02-14,20000.0,tiktok,R. Dati (LR)
rachida_dati,2026-W08,0.023761574074074,0.023761574074074,2,2927,2646,215,66,2026-02-16,59850.0,tiktok,R. Dati (LR)
sarah_knafo,2025-W02,0.0559077450262825,0.0577009279050884,6,31623,29779,1358,486,2025-01-08,32200.0,tiktok,S. Knafo (Reconquête)
sarah_knafo,2025-W03,0.0639522928279547,0.0689282449127084,6,114286,103898,7077,3311,2025-01-13,192450.0,tiktok,S. Knafo (Reconquête)
sarah_knafo,2025-W04,0.0481505461419217,0.0481505461419217,2,28056,25239,2342,475,2025-01-20,235250.0,tiktok,S. Knafo (Reconquête)
