week_start,year_week,key,candidate_label,z_global,top_post_text,top_post_engagement
2025-06-17,2025-W25,Belliard,D. Belliard (EELV),2.22,"Les députés qui ont voté la fin des ZFE viennent de mettre en péril la santé de centaine de milliers de nos concitoyennes et concitoyens, victimes de la pollution de l'air. C'est irresponsable et mens | Il fait tres chaud, c'est la canicule.
Paris à 50 degrés, ça va arriver. Arbres, accès à l'eau, volets, piscine de nuit... Ce que je veux, c'est garantir un ""droit à l'ombre et à la fraîcheur"" à Paris | Insulter, menacer, diffamer des journalistes quand on lui pose des questions, c'est ça, Rachida Dati. Honteux et glaçant.",1554
2025-10-20,2025-W43,Belliard,D. Belliard (EELV),-0.39,"Comment ne pas préférer l’après à l’avant | 200 postes sécurité ont été supprimés au Louvre. Une faute alors que, ds le même temps, Macron/Dati portent un méga projet inutile de 800m d'€ pour relier le Louvre à la Samaritaine. Oui, la responsab | Cette image est une insulte pour la justice de notre pays. Honte. Toute la droite parisienne est aux côtés de Sarkozy, condamné pour association de malfaiteurs en lien avec un terroriste. L'occasion s",13081
2025-10-27,2025-W44,Belliard,D. Belliard (EELV),0.33,"Ils voulaient criminaliser les étrangers. Nous avons dit non. Victoire ! | J'ai avec Mme Dati une opposition majeure sur le logement : je veux 40% de logement social & public, elle se contente de 3% dans le 7e. Mais de là à faire de ces personnes à la rue des bêtes de foire, | Horizons vote toutes les propositions racistes du RN à l’Assemblée. Voilà le visage du macronisme « modéré » que le candidat à la mairie de Paris Pierre-Yves Bournazel est censé représenter. Les Paris",4664
2025-11-17,2025-W47,Belliard,D. Belliard (EELV),1.31,"Cet homme, Amine Kessaci, est admirable. Au-delà des incantations, la lutte contre le narco-trafic, après des années de laisser-faire, réclame une volonté, un plan et des moyens qui dépassent largemen | Rachida Dati et la droite viennent de faire tomber une subvention pour les librairies indépendantes. Une honte de la part de la ministre de la culture, pour qui la seule culture qui vaille c’est appar | Moi, ça ne me fait pas rire.
A Paris, les actes lgbtphobes augmentent. Nos amours ne sont pas des appels à la haine, même habillés de 2nd degré. Paris est une ville ""woke"", comme ils disent, soy",2720
2025-08-11,2025-W33,Gregoire,E. Grégoire (PS),1.55,"L’espoir à gauche en #Israel vient de cet homme : #YairGolan, 63 ans , ancien major général de l’armée israélienne , héros du #7Octobre , car il est parti , de sa propre initiative , sauver des civils | Jacques Martial nous a quittés. C’était un homme et une voix de culture, de cinéma, de théâtre, d’engagement. À la tête de l'Établissement public du parc et de la grande halle de la Villette comme à l | C'est odieux, c'est barbare, c'est intolérable. Abattre l'olivier planté en mémoire d'Ilan Halimi, c'est outrager la République et menacer la paix. L'antisémitisme ne tue plus seulement les Juif",1170
2025-10-21,2025-W43,Gregoire,E. Grégoire (PS),3.73,"Mon Paris, c’est un Paris pour toutes et tous. Rachida Dati, c’est la ville pour quelques-uns, uniquement les plus privilégiés. La gauche à Paris, c’est un investissement massif dans le logement socia | Faut-il attendre que la Joconde soit volée pour enfin avoir une véritable Ministre de la culture ? Rachida Dati doit démissionner. | La France ne peut plus laisser une poignée d’acteurs concentrer le pouvoir d’information. J'ai déposé une proposition de loi pour réarmer l’État républicain avec deux objectifs : créer un cadre clair ",1404
2025-11-18,2025-W47,Gregoire,E. Grégoire (PS),2.11,"J’ai regardé la vidéo de Rachida Dati avec les éboueurs. Et franchement : ça suffit. | Vous qui avez porté en justice la question de la fermeture des quais aux voitures, vous qui vous y êtes opposée envers et contre tout, vous reconnaissez enfin votre erreur, Madame Dati ? Pour moi, pas | La droite parisienne, nouveau relai de Vincent Bolloré Ce matin en Conseil de Paris, le groupe Changer Paris de Madame Dati, ministre de la Culture, a voté CONTRE le versement de 500 000 € en soutien ",1212
2025-11-24,2025-W48,Gregoire,E. Grégoire (PS),2.11,"Emmanuel Grégoire : ""Je porte cette cicatrice comme beaucoup de personnes qui ont gardé le silence"" Le député PS de Paris, victime de violences sexuelles lors de son enfance, a décidé de s'exprimer su | La vérité est que Madame Dati déteste les pauvres et les classes moyennes, qui ont besoin du logement social. C’est pour ça que son arrondissement est le moins doté en logements sociaux. C’est pour ça | Jeudi dernier, au Conseil de Paris, la droite parisienne a voté contre 500 000 € de soutien aux librairies indépendantes. C’est un choix idéologique insidieux mais clair, une offensive contre la",2800
2025-02-26,2025-W09,Brossat,I. Brossat (PCF),3.12,"Pour rappel, quand cet énergumène a été rappelé à l’ordre par l’ARCOM, c’était pour avoir expliqué que le ghetto de Varsovie a été créé pour « protéger du typhus » | La France de 2025 n’est pas l’Afrique du Sud au temps de l’apartheid. J’ai saisi le parquet de Paris après les révélations de @libe sur l’organisation de soirées « réservées aux Européens » par l’ultr | Quel symbole. Abou Sangaré gagne le César de la meilleure révélation masculine ce soir. Il était sous OQTF il y a quelques semaines. La France qu’on aime !",11064
2025-07-28,2025-W31,Brossat,I. Brossat (PCF),2.93,"An Israeli settler just shot Odeh Hadalin in the lungs, a remarkable activist who helped us film No Other Land in Masafer Yatta. Residents identified Yinon Levi, sanctioned by the EU and US, as the sh | Paris is removing cars in their downtown and around schools and the results are amazing. | La fraude sociale : 13 milliards d’euros. La fraude fiscale : 60 à 80 milliards d’euros. Les aides publiques aux entreprises sans contrepartie : 211 milliards d’euros. Devinez à quoi le gouvernement d",53029
2025-05-15,2025-W20,Bournazel,P-Y. Bournazel (Horizons),-0.38,"Édouard Philippe nous dévoile son plan et sa stratégie pour 2027, entre calme olympien et piques envoyées à ses rivaux politiques. Le favori des sondages trace sa route, impassible face aux remous de  | La Gaîté Lyrique est un pilier de la culture parisienne. Aujourd’hui, elle est abandonnée par les pouvoirs publics.
C’est inacceptable. Pour la culture, les salarié·es, le quartier, pour #Paris : la V | Avec et pour @EPhilippe_LH ! Fier d’être à ses côtés ! Son discours pour vous convaincre : horizonsleparti.fr/discours-…",2250
2025-08-07,2025-W32,Bournazel,P-Y. Bournazel (Horizons),3.46,✅ Le Conseil constitutionnel valide la réforme du mode de scrutin à #Paris. Je me suis battu pour cette réforme depuis des années lemonde.fr/idees/article/202… C’est un progrès démocratique majeur : c,277
2025-10-28,2025-W44,Bournazel,P-Y. Bournazel (Horizons),1.23,"Merci à @GabrielAttal, aux élus, cadres, adhérents et militants de @Renaissance pour leur confiance. Ensemble, nous porterons la dynamique du rassemblement et du changement positif à Paris. L’apaiseme | Tous derrière Pierre-Yves Bournazel ! | Paris a besoin d'une alternance.
Avec Pierre-Yves Bournazel, nous faisons le choix de l'apaisement et du renouvellement. Retrouvez l'interview de @franckriester dans les Échos ➡️ lesechos.fr/elections",1402
