week,topic_name,n_tweets,avg_eng
2024-12-30,Education & culture,1,638.0
2024-12-30,Geopolitique & international,5,474.0
2024-12-30,Logement & urbanisme,2,11227.5
2024-12-30,Securite & delinquance,2,185.5
2024-12-30,Social & solidarite,2,15167.5
2024-12-30,Soutien / Jour / France,2,116.5
2024-12-30,Vie locale & citoyennete,1,164.0
2025-01-06,Vie locale & citoyennete,3,221.0
2025-01-06,Social & solidarite,12,640.3333333333334
2025-01-06,Securite & delinquance,7,2229.1428571428573
2025-01-06,Logement & urbanisme,11,3357.181818181818
2025-01-06,Soutien / Jour / France,13,909.3846153846154
2025-01-06,Education & culture,13,2090.3076923076924
2025-01-06,Deux / Emmanuel / Peuple,2,22464.0
2025-01-06,Budget & finances,9,8267.888888888889
2025-01-06,Arrondissement / Liberté / Gauche,6,121.16666666666669
2025-01-06,Geopolitique & international,13,4501.615384615385
2025-01-13,Vie locale & citoyennete,11,1237.3636363636365
2025-01-13,Soutien / Jour / France,3,167.66666666666666
2025-01-13,Social & solidarite,14,1631.357142857143
2025-01-13,Securite & delinquance,6,1994.0
2025-01-13,Logement & urbanisme,14,2441.8571428571427
2025-01-13,Geopolitique & international,21,4703.333333333333
2025-01-13,Deux / Emmanuel / Peuple,6,9362.0
2025-01-13,Budget & finances,13,1672.2307692307693
2025-01-13,Arrondissement / Liberté / Gauche,7,5531.714285714285
2025-01-13,Education & culture,10,5099.0
2025-01-20,Securite & delinquance,8,372.25
2025-01-20,Vie locale & citoyennete,2,129.5
2025-01-20,Social & solidarite,9,339.55555555555554
2025-01-20,Logement & urbanisme,20,1468.35
2025-01-20,Soutien / Jour / France,11,4631.090909090909
2025-01-20,Education & culture,13,1999.2307692307693
2025-01-20,Arrondissement / Liberté / Gauche,7,282.85714285714283
2025-01-20,Geopolitique & international,23,3808.8260869565215
2025-01-20,Deux / Emmanuel / Peuple,8,7811.125
2025-01-20,Budget & finances,20,1510.1
2025-01-27,Securite & delinquance,6,1822.0
2025-01-27,Vie locale & citoyennete,7,1062.857142857143
2025-01-27,Soutien / Jour / France,12,3255.1666666666665
2025-01-27,Social & solidarite,10,5080.2
2025-01-27,Logement & urbanisme,11,598.3636363636364
2025-01-27,Geopolitique & international,21,4244.952380952381
2025-01-27,Education & culture,19,1074.3157894736842
2025-01-27,Deux / Emmanuel / Peuple,3,5937.666666666667
2025-01-27,Budget & finances,16,5617.125
2025-01-27,Arrondissement / Liberté / Gauche,7,708.1428571428571
2025-02-03,Soutien / Jour / France,1,38.0
2025-02-03,Social & solidarite,8,1548.0
2025-02-03,Securite & delinquance,4,9761.75
2025-02-03,Logement & urbanisme,9,2819.4444444444443
2025-02-03,Vie locale & citoyennete,2,1301.0
2025-02-03,Geopolitique & international,18,5427.777777777777
2025-02-03,Deux / Emmanuel / Peuple,1,2657.0
2025-02-03,Budget & finances,31,7313.741935483871
2025-02-03,Arrondissement / Liberté / Gauche,7,3044.8571428571427
2025-02-03,Education & culture,11,2492.090909090909
2025-02-10,Vie locale & citoyennete,5,3197.0
2025-02-10,Soutien / Jour / France,6,314.0
2025-02-10,Social & solidarite,4,4189.75
2025-02-10,Securite & delinquance,4,434.75
2025-02-10,Logement & urbanisme,18,3295.8888888888887
2025-02-10,Geopolitique & international,8,6285.125
2025-02-10,Deux / Emmanuel / Peuple,4,6113.5
2025-02-10,Budget & finances,9,4662.555555555556
2025-02-10,Arrondissement / Liberté / Gauche,1,3778.0
2025-02-10,Education & culture,8,9048.75
2025-02-17,Securite & delinquance,1,17759.0
2025-02-17,Vie locale & citoyennete,4,3577.75
2025-02-17,Soutien / Jour / France,7,6795.857142857143
2025-02-17,Logement & urbanisme,8,5501.875
2025-02-17,Social & solidarite,4,11101.5
2025-02-17,Education & culture,12,6153.833333333333
2025-02-17,Budget & finances,14,9057.92857142857
2025-02-17,Geopolitique & international,21,5964.666666666667
2025-02-17,Deux / Emmanuel / Peuple,1,10701.0
2025-02-24,Arrondissement / Liberté / Gauche,3,735.3333333333334
2025-02-24,Budget & finances,10,9168.5
2025-02-24,Deux / Emmanuel / Peuple,5,1888.0
2025-02-24,Education & culture,8,2221.25
2025-02-24,Geopolitique & international,17,5215.882352941177
2025-02-24,Logement & urbanisme,8,760.625
2025-02-24,Securite & delinquance,3,5064.333333333333
2025-02-24,Social & solidarite,11,6156.636363636364
2025-02-24,Soutien / Jour / France,7,1529.0
2025-02-24,Vie locale & citoyennete,9,3593.6666666666665
2025-03-03,Logement & urbanisme,3,147.66666666666666
2025-03-03,Vie locale & citoyennete,3,253.0
2025-03-03,Soutien / Jour / France,1,193.0
2025-03-03,Social & solidarite,2,58.5
2025-03-03,Securite & delinquance,4,79.0
2025-03-03,Education & culture,3,1711.6666666666667
2025-03-03,Deux / Emmanuel / Peuple,2,108.5
2025-03-03,Budget & finances,3,2250.333333333333
2025-03-03,Arrondissement / Liberté / Gauche,1,34.0
2025-03-03,Geopolitique & international,6,619.3333333333334
2025-03-10,Arrondissement / Liberté / Gauche,8,174.75
2025-03-10,Budget & finances,5,583.2
2025-03-10,Education & culture,8,984.625
2025-03-10,Geopolitique & international,4,1256.75
2025-03-10,Logement & urbanisme,7,334.42857142857144
2025-03-10,Securite & delinquance,6,798.6666666666666
2025-03-10,Social & solidarite,4,298.0
2025-03-10,Vie locale & citoyennete,10,85.7
2025-03-17,Securite & delinquance,5,184.2
2025-03-17,Soutien / Jour / France,9,374.22222222222223
2025-03-17,Social & solidarite,9,198.11111111111111
2025-03-17,Vie locale & citoyennete,8,519.5
2025-03-17,Logement & urbanisme,7,98.71428571428572
2025-03-17,Education & culture,7,419.57142857142856
2025-03-17,Arrondissement / Liberté / Gauche,8,149.25
2025-03-17,Geopolitique & international,5,808.6
2025-03-17,Deux / Emmanuel / Peuple,4,400.0
2025-03-17,Budget & finances,6,354.8333333333333
2025-03-24,Vie locale & citoyennete,10,197.3
2025-03-24,Soutien / Jour / France,8,22905.0
2025-03-24,Social & solidarite,10,101.6
