semaine,candidat,z_global,top_engagement,topic_eng_max,avg_eng_semaine,topic_vol_max,n_tweets_semaine,convergence
21 Jul 2025,Chikirou,5.63,38560,Sécurité,8809.0,Géopolitique,19,False
14 Aug 2025,Mariani,4.84,36441,Sécurité,6443.0,Géopolitique,12,False
16 Mar 2025,Dati,4.37,2231,Géopolitique,809.0,Soutien/France,9,False
21 Oct 2025,Gregoire,3.73,1404,Budget,6961.0,Anti-droite/Dati*,30,False
29 Mar 2025,Knafo,3.72,173831,Budget,200391.0,Logement,27,False
07 Aug 2025,Bournazel,3.46,277,Arrondissement / Liberté / Gauche,11766.0,Budget,12,False
26 Feb 2025,Brossat,3.12,11064,Budget,9168.0,Géopolitique,17,False
28 Jul 2025,Brossat,2.93,53029,Budget,6809.0,Géopolitique,16,False
14 Apr 2025,Mariani,2.92,3930,Géopolitique,137684.0,Social,8,False
29 Dec 2025,Dati,2.88,6311,Géopolitique,10015.0,Géopolitique,22,True
09 Apr 2025,Knafo,2.71,266429,Géopolitique,137684.0,Budget,13,False
14 Apr 2025,Knafo,2.48,796132,Géopolitique,137684.0,Social,8,False
05 May 2025,Knafo,2.44,1355519,Budget,103368.0,Géopolitique,22,False
30 Apr 2025,Knafo,2.4,1020699,Budget,103368.0,Géopolitique,22,False
03 Nov 2025,Bournazel,2.39,4207,Soutien/France,4325.0,Local/Paris,24,False
17 Jun 2025,Belliard,2.22,1554,Budget,5480.0,Géopolitique,22,False
17 Nov 2025,Mariani,2.18,38806,Géopolitique,4940.0,Anti-droite/Dati*,37,False
23 Dec 2025,Dati,2.14,7208,Budget,6796.0,Local/Paris,23,False
24 Nov 2025,Gregoire,2.11,2800,Géopolitique,4319.0,Budget,31,False
18 Nov 2025,Gregoire,2.11,1212,Géopolitique,4940.0,Anti-droite/Dati*,37,False
29 Sep 2025,Mariani,2.04,32904,Budget,5874.0,Anti-droite/Dati*,34,False
10 May 2025,Chikirou,1.66,20532,Budget,103368.0,Géopolitique,28,False
07 Oct 2025,Dati,1.62,10834,Logement,31094.0,Anti-droite/Dati*,30,False
11 Aug 2025,Gregoire,1.55,1170,Soutien/France,4942.0,Anti-droite/Dati*,11,False
22 Dec 2025,Chikirou,1.44,8160,Budget,6796.0,Local/Paris,23,False
17 Nov 2025,Belliard,1.31,2720,Géopolitique,4940.0,Anti-droite/Dati*,37,False
28 Oct 2025,Bournazel,1.23,1402,Budget,5377.0,Anti-droite/Dati*,28,False
26 May 2025,Dati,1.15,11085,Social,2722.0,Géopolitique,18,False
12 Jan 2026,Bournazel,0.53,1132,Anti-droite/Dati*,2670.0,Anti-droite/Dati*,62,True
27 Oct 2025,Belliard,0.33,4664,Budget,5377.0,Anti-droite/Dati*,28,False
28 Jul 2025,Dati,0.14,6073,Budget,6809.0,Géopolitique,16,False
14 Jul 2025,Knafo,-0.27,100273,Budget,9163.0,Géopolitique,21,False
15 May 2025,Bournazel,-0.38,2250,Budget,134339.0,Géopolitique,28,False
20 Oct 2025,Belliard,-0.39,13081,Budget,6961.0,Anti-droite/Dati*,30,False
27 May 2025,Knafo,-0.49,25467,Social,2722.0,Géopolitique,18,False
