key,year_week,week_start,net_support,z_score,direction,n_replies
Brossat,2025-W17,2025-04-21,-33.33,-14.653986094530692,Baisse,3
Mariani,2025-W43,2025-10-20,0.0,13.447769505268491,Hausse,1
Brossat,2026-W03,2026-01-12,-57.14,-5.245820272886812,Baisse,14
Knafo,2026-W06,2026-02-02,46.67,5.200667816875933,Hausse,45
Dati,2025-W17,2025-04-21,100.0,4.854525484100566,Hausse,2
Bournazel,2026-W06,2026-02-02,-33.33,-4.7019742530759014,Baisse,3
Knafo,2025-W38,2025-09-15,-25.0,-4.3520583024697626,Baisse,8
Dati,2026-W03,2026-01-12,100.0,3.832720931614763,Hausse,1
Gregoire,2025-W41,2025-10-06,71.43,3.7553773568393423,Hausse,7
Brossat,2026-W08,2026-02-16,-100.0,-3.7147035018333834,Baisse,1
Chikirou,2026-W02,2026-01-05,-56.41,-3.3632611260048653,Baisse,39
Mariani,2026-W05,2026-01-26,50.0,3.323829137459763,Hausse,4
Bournazel,2025-W26,2025-06-23,0.0,-3.0,Baisse,11
Gregoire,2025-W24,2025-06-09,40.0,-2.9693582856412575,Baisse,5
Bournazel,2026-W07,2026-02-09,-60.0,-2.925721241607852,Baisse,5
Belliard,2025-W38,2025-09-15,62.5,2.907352830861896,Hausse,8
Gregoire,2026-W06,2026-02-02,12.9,2.5369353326789224,Hausse,31
Belliard,2025-W41,2025-10-06,-20.0,-2.5347255830350703,Baisse,5
Chikirou,2026-W03,2026-01-12,-70.59,-2.434535795815806,Baisse,17
Brossat,2025-W33,2025-08-11,18.75,2.3833514065523906,Hausse,16
Dati,2025-W51,2025-12-15,-50.0,-2.213379117543473,Baisse,2
Bournazel,2025-W21,2025-05-19,100.0,2.1213203435596424,Hausse,3
Bournazel,2025-W51,2025-12-15,-6.25,-2.1093203451773386,Baisse,16
Dati,2025-W16,2025-04-14,-20.0,-2.0507776242963764,Baisse,10
Knafo,2025-W50,2025-12-08,48.28,1.9263273228989988,Hausse,58
Brossat,2026-W06,2026-02-02,-69.23,-1.9075682197569732,Baisse,13
Chikirou,2026-W07,2026-02-09,-37.04,1.87275132426283,Hausse,27
Knafo,2025-W20,2025-05-12,-20.0,-1.8573414801479915,Baisse,10
Gregoire,2025-W37,2025-09-08,-8.33,-1.8375863352315105,Baisse,12
Chikirou,2025-W29,2025-07-14,-76.92,-1.8050371787254074,Baisse,13
Chikirou,2026-W08,2026-02-16,-26.67,1.7248318461844074,Hausse,15
Gregoire,2025-W51,2025-12-15,0.0,-1.7024695266075907,Baisse,2
Knafo,2025-W43,2025-10-20,40.0,1.694114096264722,Hausse,5
Dati,2026-W06,2026-02-02,-100.0,-1.6159968388374184,Baisse,1
Belliard,2026-W04,2026-01-19,-34.38,-1.5835555555555554,Baisse,64
Knafo,2025-W33,2025-08-11,33.33,1.5494693324027833,Hausse,24
Gregoire,2026-W02,2026-01-05,-13.33,-1.5273425711938395,Baisse,45
Dati,2025-W21,2025-05-19,100.0,1.4770978917519926,Hausse,1
Dati,2025-W46,2025-11-10,15.79,1.4649325511629343,Hausse,19
Gregoire,2025-W33,2025-08-11,0.0,-1.4025861574700027,Baisse,6
Knafo,2026-W04,2026-01-19,10.53,-1.397886888409009,Baisse,19
Mariani,2025-W51,2025-12-15,0.0,1.3970821753244815,Hausse,8
Chikirou,2025-W33,2025-08-11,-100.0,-1.37225688477978,Baisse,4
Chikirou,2026-W06,2026-02-02,-48.39,1.3685517898749577,Hausse,31
Dati,2025-W33,2025-08-11,-50.0,-1.364045259156216,Baisse,4
Belliard,2025-W50,2025-12-08,-25.0,-1.333945937699831,Baisse,16
Dati,2025-W29,2025-07-14,-20.0,-1.3181818181818181,Baisse,5
Gregoire,2025-W25,2025-06-16,33.33,-1.2878519354845437,Baisse,6
Gregoire,2026-W05,2026-01-26,-17.65,-1.286268169195307,Baisse,34
Gregoire,2025-W29,2025-07-14,22.22,-1.281886212631098,Baisse,9
Chikirou,2026-W04,2026-01-19,-72.73,-1.2783883301823544,Baisse,11
Dati,2025-W41,2025-10-06,0.0,1.2215544824534132,Hausse,1
Knafo,2026-W05,2026-01-26,6.67,-1.217962111411826,Baisse,15
Gregoire,2026-W03,2026-01-12,-14.29,-1.2047069036743885,Baisse,28
