source,target,source_label,target_label,mentions
ian_brossat,emmanuel_gregoire,Brossat,Gregoire,27
sophia_chikirou,emmanuel_gregoire,Chikirou,Gregoire,21
sophia_chikirou,rachida_dati,Chikirou,Dati,14
david_belliard,emmanuel_gregoire,Belliard,Gregoire,13
pierre_yves_bournazel,emmanuel_gregoire,Bournazel,Gregoire,11
emmanuel_gregoire,ian_brossat,Gregoire,Brossat,9
emmanuel_gregoire,rachida_dati,Gregoire,Dati,6
pierre_yves_bournazel,rachida_dati,Bournazel,Dati,5
rachida_dati,emmanuel_gregoire,Dati,Gregoire,5
emmanuel_gregoire,david_belliard,Gregoire,Belliard,5
sophia_chikirou,pierre_yves_bournazel,Chikirou,Bournazel,4
david_belliard,ian_brossat,Belliard,Brossat,4
thierry_mariani,rachida_dati,Mariani,Dati,3
ian_brossat,rachida_dati,Brossat,Dati,3
david_belliard,rachida_dati,Belliard,Dati,2
sarah_knafo,emmanuel_gregoire,Knafo,Gregoire,2
david_belliard,pierre_yves_bournazel,Belliard,Bournazel,1
pierre_yves_bournazel,david_belliard,Bournazel,Belliard,1
ian_brossat,david_belliard,Brossat,Belliard,1
sophia_chikirou,ian_brossat,Chikirou,Brossat,1
thierry_mariani,emmanuel_gregoire,Mariani,Gregoire,1
