k1,k2,jac,dist_ideo,same_camp
Bournazel,Dati,0.0926,1,False
Brossat,Belliard,0.0926,2,False
Bournazel,Belliard,0.0784,2,False
Dati,Knafo,0.076,1,False
Gregoire,Belliard,0.0633,1,True
Knafo,Mariani,0.0498,1,True
Dati,Belliard,0.0448,3,False
Dati,Mariani,0.0411,2,False
Bournazel,Knafo,0.0394,2,False
Bournazel,Brossat,0.0384,4,False
Gregoire,Brossat,0.0384,3,False
Bournazel,Mariani,0.0376,3,False
Dati,Brossat,0.0323,5,False
Bournazel,Gregoire,0.0273,1,False
Chikirou,Brossat,0.0246,1,True
Chikirou,Gregoire,0.0212,2,False
Chikirou,Belliard,0.0206,1,False
Mariani,Belliard,0.019,5,False
Knafo,Brossat,0.0177,6,False
Knafo,Belliard,0.0176,4,False
Mariani,Brossat,0.0153,7,False
Dati,Gregoire,0.0122,2,False
Bournazel,Chikirou,0.0116,3,False
Dati,Chikirou,0.0108,4,False
Knafo,Chikirou,0.0057,5,False
Mariani,Gregoire,0.0053,4,False
Mariani,Chikirou,0.005,6,False
Knafo,Gregoire,0.0041,3,False
