source,target,pair,themes,n_themes,text_snippet
david_belliard,emmanuel_gregoire,Belliard->Gregoire,alliance,1,salle comble pour lancer la campagne du 11e. merci aux partenaires et en particulier à françois vaug
david_belliard,emmanuel_gregoire,Belliard->Gregoire,autre,0,"le 31 janvier je serai avec mes camarades du @pcf_paris au lancement de campagne de la gauche unie, "
david_belliard,rachida_dati,Belliard->Dati,autre,0,"on connaît enfin l’équipe de @datirachida, et on a compté les ennemis de l’égalité."
david_belliard,emmanuel_gregoire,Belliard->Gregoire,autre,0,l’équipe écolo de #paris15 sur le terrain aujourd’hui au marché convention pour faire gagner le gran
david_belliard,emmanuel_gregoire,Belliard->Gregoire,autre,0,"un immense merci pour l’ambiance ce soir ! les 15 et 22 mars, avec @egregoire, la gauche et les écol"
david_belliard,emmanuel_gregoire,Belliard->Gregoire,"alliance,logement",2,magnifique soirée sous le signe de l'unité ce soir à la bellevilloise pour le meeting de la gauche u
david_belliard,emmanuel_gregoire,Belliard->Gregoire,autre,0,la gauche unie organise son premier meeting ce mercredi soir à la bellevilloise autour d’@egregoire 
david_belliard,emmanuel_gregoire,Belliard->Gregoire,"programme,alliance",2,"en faisant union, nous avons ouvert une nouvelle ère, celle de la gouvernance partagée autour d'un p"
david_belliard,emmanuel_gregoire,Belliard->Gregoire,autre,0,"""cette unité, on veut qu'elle dure !"" l'unité pour gagner plébiscitée sur le marché cours de vincenn"
david_belliard,ian_brossat,Belliard->Brossat,autre,0,"""cette unité, on veut qu'elle dure !"" l'unité pour gagner plébiscitée sur le marché cours de vincenn"
david_belliard,emmanuel_gregoire,Belliard->Gregoire,logement,1,"municipales 2026 à paris : avec @egregoire, @david_belliard, @ianbrossat et @castetslucie, nous fais"
david_belliard,ian_brossat,Belliard->Brossat,logement,1,"municipales 2026 à paris : avec @egregoire, @david_belliard, @ianbrossat et @castetslucie, nous fais"
david_belliard,emmanuel_gregoire,Belliard->Gregoire,ecologie,1,c'est très révélateur : aucun autre candidat que @egregoire n'a trouvé important d'aller débattre du
david_belliard,emmanuel_gregoire,Belliard->Gregoire,"programme,logement",2,"continuer à transformer la ville, réquisitionner les logements vides, ne laisser aucun enfant à la r"
david_belliard,emmanuel_gregoire,Belliard->Gregoire,"programme,alliance",2,"🚀✊🏼 l'union fait la force ! +3 % pour la liste d'union de la gauche et des écologistes, menée par @e"
david_belliard,emmanuel_gregoire,Belliard->Gregoire,autre,0,il faut un énorme courage pour evoquer ses violences et agressions sexuelles d'enfant. merci à @egre
david_belliard,pierre_yves_bournazel,Belliard->Bournazel,programme,1,"encore une fois, pour faire voter ses propositions racistes, l'extrême-droite a pu compter sur le vo"
david_belliard,ian_brossat,Belliard->Brossat,"attaque,logement",2,laisser des familles dormir dehors au milieu des restes d’un incendie est une honte. avec @ianbrossa
david_belliard,rachida_dati,Belliard->Dati,autre,0,"« rêvez grand » 😍 reine parmi les reines !
félicitations à @themamiwatta pour sa victoire 👑🏳️‍🌈 #dra"
david_belliard,ian_brossat,Belliard->Brossat,logement,1,merci à @ianbrossat @david_belliard @virginiedaspet @laurentsorel1 et aux nombreuses et nombreux loc
emmanuel_gregoire,rachida_dati,Gregoire->Dati,autre,0,aucun doute : la knafoïsation de @datirachida est bien amorcée
emmanuel_gregoire,david_belliard,Gregoire->Belliard,autre,0,salle pleine ce soir à la bellevilloise pour le meeting de la gauche unie et écologistes avec @david
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,autre,0,salle pleine ce soir à la bellevilloise pour le meeting de la gauche unie et écologistes avec @david
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,alliance,1,"un très joyeux noël à toutes et tous, depuis le centre d’hébergement « la promesse de l’aube » dans "
emmanuel_gregoire,david_belliard,Gregoire->Belliard,alliance,1,"la gauche s’unit pour paris ! je remercie @david_belliard, @ianbrossat ainsi que l’ensemble des élu·"
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,alliance,1,"la gauche s’unit pour paris ! je remercie @david_belliard, @ianbrossat ainsi que l’ensemble des élu·"
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,autre,0,mettre en scène la misère ne participera jamais à la résoudre. merci à @ianbrossat et @utopia_56 de 
emmanuel_gregoire,david_belliard,Gregoire->Belliard,alliance,1,"la droite parisienne, nouveau relai de vincent bolloré ce matin en conseil de paris, le groupe chang"
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,alliance,1,"la droite parisienne, nouveau relai de vincent bolloré ce matin en conseil de paris, le groupe chang"
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,autre,0,oui on va y arriver ! merci @ianbrossat de porter ce message d’unité !
emmanuel_gregoire,rachida_dati,Gregoire->Dati,alliance,1,"soyons clairs : la droite parisienne, et notamment @datirachida, n’a jamais pris la mesure de ce que"
emmanuel_gregoire,ian_brossat,Gregoire->Brossat,autre,0,"la définitive réconciliation de paris avec son fleuve @ianbrossat 😉 face à la démagogique dati, exce"
emmanuel_gregoire,david_belliard,Gregoire->Belliard,alliance,1,"félicitations cher @david_belliard, et bravo à @anneclaire_boux, @kone_fatou et @aminataniakate pour"
emmanuel_gregoire,david_belliard,Gregoire->Belliard,autre,0,toutes mes félicitations cher ⁦@david_belliard ❤️⁩ 👼 david belliard devient papa et raconte le « che
emmanuel_gregoire,rachida_dati,Gregoire->Dati,autre,0,"""a l'évidence, mon style n'est pas celui de @datirachida . je ne serai pas un maire bling bling. je "
emmanuel_gregoire,rachida_dati,Gregoire->Dati,autre,0,"frais de représentation d'@anne_hidalgo : ""c'est une grossière manœuvre de diversion organisée par l"
emmanuel_gregoire,rachida_dati,Gregoire->Dati,attaque,1,1. le @conseil_constit a annulé le même jour 3 élections législatives (ffe. 75-02 et 82-01) 2. le mi
emmanuel_gregoire,rachida_dati,Gregoire->Dati,attaque,1,1. le @conseil_constit a annulé le même jour 3 élections législatives (ffe. 75-02 et 82-01) 2. le mi
