anonymized_id,n_replies,top_3_candidates,dominant_sentiment,pct_hostility,sample_replies,replies_per_week
Auteur_001,220,"Knafo, Dati",SOUTIEN,1.8,Cela prouve bien que les Français sont intéressés par les propos tenus par Sarah… | On devrait obligatoirement suivre des cours d'économie à l'école! Tout le monde … | Paris brillera grâce à Sarah Knafo! Paris redeviendra la capitale connue du mond…,7.3
Auteur_002,119,Knafo,HOSTILITE,49.6,Knafo c’était nul. Ton allocution était pitoyable | Plaisir pas partagé . J’ai pu me rendre compte que tu ne connais rien de Paris. … | Elle est incompétente et a de la merde dans les yeux . La France est belle. Vive…,6.3
Auteur_003,117,"Knafo, Mariani",SOUTIEN,4.3,"Toute l'Europe devrait s'équiper de Rafales,si nous avions une VRAIE EUROPE de l… | Visiblement les mensonges n'étouffent pas Eléonore Caroit ! La macronie est en p… | Que souffle partout sur la FRANCE le vent puissant de la RECONQUÊTE...",3.3
Auteur_004,117,Knafo,SOUTIEN,7.7,"Ce message de Sarah me réjouit au plus point. Soyons exigeant de Beauté dans tou… | Merci, Sarah ‼️ @knafo_sarah @Reconquete_off @ZemmourEric | Merci de le signaler pour les mauvaises langues (Joron, Philippot et cie). Il fa…",2.7
Auteur_005,112,"Knafo, Dati, Belliard",SOUTIEN,3.6,On veut savoir Monsieur le Premier ministre @bayrou ! C’est notre droit ! Merci … | Avec vous on a confiance ! 👏💪🇫🇷 merci ! | Génial ! 👍,3.6
Auteur_006,94,"Knafo, Dati, Bournazel",SOUTIEN,23.4,"AI Salvador, le président Bukele a construit 40.000 places de prison sécurisée p… | Merci Sarah 👍👍👍 | Continuez Sarah, votre exemple avec la grand mère et la photo de son petit-fils …",3.9
Auteur_007,88,"Knafo, Mariani, Bournazel",SOUTIEN,31.8,"Enfin ! Peut-être que @PascalPraud attendait un article A CHARGE de @Challenges … | En espérant que l'intégralité du groupe du #RenoncementNational vote POUR égalem… | Bravo Chère @knafo_sarah car c'est AMPLEMENT mérité ! Maintenant, il ne reste qu…",2.6
Auteur_008,82,"Dati, Knafo, Bournazel",CRITIQUE,24.4,"De sondage en sondage, une image clivante de Rachida Dati toujours plus haute – … | Nous ne voulons pas d’une candidate outrancière, impliquée dans 5 affaires, jugé… | Monsieur @SebLecornu,   Je m’étonne du propos de Mme @datirachida, ministre de l…",5.1
Auteur_009,81,"Knafo, Mariani, Bournazel",IRONIE,29.6,Vous l’avez dit à votre bonne copine?? Euh euh euh.. Vous n’êtes pas au courant?… | Sans fiches.. mais on devine le prompteur | Et à la fin.. 🤣🤣,3.5
Auteur_010,80,"Knafo, Mariani, Dati",SOUTIEN,13.8,Je n'ai pas vu le temps passer. Un vrai bonheur d'écouter Sarah Knafo.  Mais c'e… | Mo. Intuition que Sarah Knafo sera la première femme en France élue Présidente d… | Record 137 millions de vues sur les RS durant l'été !!  Sarah Knafo est exceptio…,2.5
