author1,author2,n_co_timings,candidates
depassos4,marjeta605,27,Brossat
albator8475,mh2p_,17,"Belliard,Brossat,Gregoire"
cedrictri,paris_reviens,14,Belliard
depassos4,nr22.69,9,Brossat
albator8475,bill_16491,9,Brossat
bill_16491,mh2p_,9,Brossat
cherry_art_art_art,mh2p_,9,"Belliard,Brossat,Gregoire"
paris_reviens,stannislask51,8,"Belliard,Gregoire"
albator8475,cherry_art_art_art,8,"Belliard,Brossat,Gregoire"
elisabethsudre,marjeta605,7,Brossat
mh2p_,patrick.fosse,6,Brossat
bersaut24,paris_reviens,6,Belliard
bill_16491,patrick.fosse,6,Brossat
albator8475,patrick.fosse,6,Brossat
coliving_paris_,jeanlouisneboux,6,Belliard
cedrictri,liasellier,6,Belliard
jeanlouisneboux,ludovicdesmurger,5,Belliard
cedrictri,eelv.paris16,5,Belliard
eelv.paris16,paris_reviens,5,Belliard
bersaut24,cedrictri,5,Belliard
depassos4,elisabethsudre,5,Brossat
diego_devale,elisabethsudre,5,Brossat
lege_gele,v.hunyor,5,"Belliard,Gregoire"
chaubardjen,mh2p_,5,"Belliard,Gregoire"
haddock_bzh,lege_gele,5,Gregoire
ludovicdesmurger,paris_reviens,5,Belliard
liasellier,stannislask51,5,Belliard
albator8475,chaubardjen,4,Gregoire
albator8475,haddock_bzh,4,Belliard
liasellier,mh2p_,4,Belliard
coliving_paris_,mh2p_,4,Belliard
jeanlouisneboux,mh2p_,4,Belliard
drlx75,mh2p_,4,"Belliard,Gregoire"
cherry_art_art_art,paris_reviens,4,"Belliard,Bournazel"
coliving_paris_,ludovicdesmurger,4,Belliard
haddock_bzh,liasellier,4,Belliard
marjeta605,mh2p_,4,"Brossat,Gregoire"
lege_gele,paris_reviens,4,"Belliard,Gregoire"
bernard.roy.9619,lege_gele,4,"Belliard,Gregoire"
coliving_paris_,stannislask51,4,Belliard
bernard.roy.9619,ravajalamouke,4,Chikirou
albator8475,eelv.paris16,4,"Belliard,Gregoire"
j.chevalier.007,richerbenjamin,4,Knafo
GlachantBenoit,hau_didier,4,Knafo
haddock_bzh,mh2p_,4,Belliard
albator8475,liasellier,4,Belliard
liasellier,paris_reviens,4,Belliard
eelv.paris16,mh2p_,4,"Belliard,Gregoire"
jeanlouisneboux,stannislask51,4,Belliard
cherry_art_art_art,coliving_paris_,3,Belliard
cherry_art_art_art,jeanlouisneboux,3,Belliard
Baptiste_Gvn75,maria_andy2,3,Dati
cherry_art_art_art,lege_gele,3,"Belliard,Brossat,Gregoire"
elisabethsudre,mh2p_,3,Brossat
chaubardjen,cherry_art_art_art,3,"Belliard,Gregoire"
cherry_art_art_art,elisabethsudre,3,Brossat
chaubardjen,coliving_paris_,3,"Belliard,Gregoire"
chaubardjen,ludovicdesmurger,3,Belliard
Bahsief93,Cgr007007,3,Knafo
elisabethsudre,lege_gele,3,Brossat
Bahsief93,DucoeurThierry,3,Knafo
coliving_paris_,drlx75,3,Belliard
haddock_bzh,stannislask51,3,"Belliard,Gregoire"
diego_devale,marjeta605,3,"Brossat,Chikirou"
nadette1506,richerbenjamin,3,Knafo
cherry_art_art_art,marjeta605,3,"Brossat,Gregoire"
lege_gele,stannislask51,3,Gregoire
drlx75,jeanlouisneboux,3,Belliard
elisabethsudre,haraldvonh,3,Brossat
jeanlouisneboux,liasellier,3,Belliard
Magnifaik26,R6913Bc,3,Knafo
j.chevalier.007,nadette1506,3,Knafo
marjeta605,nr22.69,3,Brossat
j.chevalier.007,moiem75,3,Knafo
bersaut24,eelv.paris16,3,Belliard
fabienyeiayel,la_chikirou_tourne,3,Chikirou
bill_16491,cherry_art_art_art,3,Brossat
bersaut24,ludovicdesmurger,3,Belliard
coliving_paris_,haddock_bzh,3,"Belliard,Gregoire"
bersaut24,elisabethsudre,3,Brossat
eelv.paris16,liasellier,3,Belliard
jeanlouisneboux,paris_reviens,3,Belliard
coliving_paris_,paris_reviens,3,Belliard
Bahsief93,romuald_correia,3,Knafo
fabienyeiayel,hogerpierre,3,Bournazel
coliving_paris_,liasellier,3,Belliard
liasellier,world_chill,2,Belliard
Bahsief93,GregJackeraser,2,Knafo
GuillaumeB38968,caro_soph,2,Knafo
AaBb380865,Karm5624,2,Knafo
cherry_art_art_art,eelv.paris16,2,"Belliard,Gregoire"
lege_gele,marjeta605,2,Brossat
albator8475,cbiget,2,Belliard
albator8475,coliving_paris_,2,Belliard
albator8475,jeanlouisneboux,2,Belliard
albator8475,drlx75,2,Belliard
bersaut24,marjeta605,2,Brossat
cherry_art_art_art,liasellier,2,Belliard
cherry_art_art_art,drlx75,2,Belliard
cbiget,liasellier,2,Belliard
drlx75,liasellier,2,Belliard
mladenb1969,romuald_correia,2,Knafo
bascopensardine,leraisonneur,2,Dati
CharboneColette,CroqueuseVie,2,Knafo
bersaut24,diego_devale,2,Brossat
AlexieDelalande,npsouliste,2,Bournazel
cherry_art_art_art,patrick.fosse,2,Brossat
Magdamary85,manonbymanon_,2,Knafo
paris_reviens,world_chill,2,"Brossat,Gregoire"
BatricePLAISAN1,R6913Bc,2,Knafo
MathonChri49279,sebanxo,2,Dati
Bahsief93,manonbymanon_,2,Knafo
gerardfiloche,hdfnol,2,Dati
Antheme2,BigMuffin10,2,Dati
Babylone771,R6913Bc,2,Knafo
Ysama652,g_olivierg9377,2,Dati
BatricePLAISAN1,Romarin_2084,2,Knafo
CecileDenis2,Sudfrancilien91,2,Dati
haddock_bzh,karsentypeintures,2,Gregoire
Bahsief93,Danhalakha,2,Knafo
MedecinZemmour,easyten75,2,Dati
Marar61141017,MedecinZemmour,2,Dati
Bahsief93,MaximeTHEBAUL10,2,Knafo
MatouEcureuil,gerardfiloche,2,Dati
drlx75,ludovicdesmurger,2,Belliard
LaFrancfort,Pupuce5637,2,Dati
Bahsief93,QGML_75,2,Knafo
letulpadedavid,marc_paris_x,2,Dati
Complotismus,__maFrance__12,2,Dati
Bahsief93,LeBreto05734837,2,Knafo
AMontezuma,i_decrion,2,Knafo
cherry_art_art_art,ludovicdesmurger,2,Belliard
cherry_art_art_art,v.hunyor,2,"Belliard,Gregoire"
la_chikirou_tourne,nadette1506,2,Knafo
