week,source,target,pair,n_mentions,total_engagement,avg_engagement
2025-02-24,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,64,64.0
2025-03-03,ian_brossat,rachida_dati,Brossat -> Dati,1,605,605.0
2025-03-17,emmanuel_gregoire,david_belliard,Gregoire -> Belliard,1,100,100.0
2025-03-24,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,194,194.0
2025-04-21,emmanuel_gregoire,david_belliard,Gregoire -> Belliard,1,189,189.0
2025-06-02,pierre_yves_bournazel,rachida_dati,Bournazel -> Dati,1,100,100.0
2025-06-16,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,72,72.0
2025-06-23,david_belliard,ian_brossat,Belliard -> Brossat,1,16,16.0
2025-06-30,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,1,28,28.0
2025-06-30,sophia_chikirou,pierre_yves_bournazel,Chikirou -> Bournazel,1,28,28.0
2025-06-30,sophia_chikirou,rachida_dati,Chikirou -> Dati,1,28,28.0
2025-07-07,david_belliard,ian_brossat,Belliard -> Brossat,1,36,36.0
2025-07-07,rachida_dati,emmanuel_gregoire,Dati -> Gregoire,1,134,134.0
2025-08-04,emmanuel_gregoire,rachida_dati,Gregoire -> Dati,2,1278,639.0
2025-08-25,david_belliard,rachida_dati,Belliard -> Dati,1,34,34.0
2025-09-22,emmanuel_gregoire,rachida_dati,Gregoire -> Dati,1,65,65.0
2025-09-29,emmanuel_gregoire,rachida_dati,Gregoire -> Dati,1,99,99.0
2025-10-06,rachida_dati,emmanuel_gregoire,Dati -> Gregoire,2,4422,2211.0
2025-10-13,pierre_yves_bournazel,emmanuel_gregoire,Bournazel -> Gregoire,1,198,198.0
2025-10-27,david_belliard,pierre_yves_bournazel,Belliard -> Bournazel,1,69,69.0
2025-10-27,emmanuel_gregoire,rachida_dati,Gregoire -> Dati,1,41,41.0
2025-10-27,sarah_knafo,emmanuel_gregoire,Knafo -> Gregoire,1,16226,16226.0
2025-11-10,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,394,394.0
2025-11-10,ian_brossat,emmanuel_gregoire,Brossat -> Gregoire,2,669,334.5
2025-11-17,emmanuel_gregoire,david_belliard,Gregoire -> Belliard,1,376,376.0
2025-11-17,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,376,376.0
2025-11-17,ian_brossat,rachida_dati,Brossat -> Dati,1,1413,1413.0
2025-11-17,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,1,2194,2194.0
2025-11-17,sophia_chikirou,rachida_dati,Chikirou -> Dati,1,2194,2194.0
2025-11-24,david_belliard,emmanuel_gregoire,Belliard -> Gregoire,1,363,363.0
2025-11-24,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,261,261.0
2025-11-24,ian_brossat,rachida_dati,Brossat -> Dati,1,13244,13244.0
2025-12-01,pierre_yves_bournazel,david_belliard,Bournazel -> Belliard,1,662,662.0
2025-12-08,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,1,1096,1096.0
2025-12-15,emmanuel_gregoire,david_belliard,Gregoire -> Belliard,1,349,349.0
2025-12-15,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,349,349.0
2025-12-15,pierre_yves_bournazel,emmanuel_gregoire,Bournazel -> Gregoire,2,568,284.0
2025-12-15,sophia_chikirou,rachida_dati,Chikirou -> Dati,1,412,412.0
2025-12-22,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,240,240.0
2025-12-22,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,1,1950,1950.0
2025-12-22,sophia_chikirou,ian_brossat,Chikirou -> Brossat,1,1950,1950.0
2025-12-29,pierre_yves_bournazel,emmanuel_gregoire,Bournazel -> Gregoire,1,236,236.0
2026-01-05,david_belliard,emmanuel_gregoire,Belliard -> Gregoire,3,480,160.0
2026-01-05,david_belliard,ian_brossat,Belliard -> Brossat,2,188,94.0
2026-01-05,ian_brossat,emmanuel_gregoire,Brossat -> Gregoire,3,2947,982.3333333333334
2026-01-05,pierre_yves_bournazel,emmanuel_gregoire,Bournazel -> Gregoire,3,790,263.3333333333333
2026-01-05,pierre_yves_bournazel,rachida_dati,Bournazel -> Dati,2,429,214.5
2026-01-05,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,1,1705,1705.0
2026-01-05,sophia_chikirou,rachida_dati,Chikirou -> Dati,1,1705,1705.0
2026-01-05,thierry_mariani,rachida_dati,Mariani -> Dati,1,29,29.0
2026-01-12,david_belliard,emmanuel_gregoire,Belliard -> Gregoire,4,326,81.5
2026-01-12,emmanuel_gregoire,david_belliard,Gregoire -> Belliard,1,256,256.0
2026-01-12,emmanuel_gregoire,ian_brossat,Gregoire -> Brossat,1,256,256.0
2026-01-12,ian_brossat,david_belliard,Brossat -> Belliard,1,5200,5200.0
2026-01-12,ian_brossat,emmanuel_gregoire,Brossat -> Gregoire,3,1148,382.6666666666667
2026-01-12,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,2,3692,1846.0
2026-01-12,sophia_chikirou,rachida_dati,Chikirou -> Dati,2,3692,1846.0
2026-01-19,david_belliard,rachida_dati,Belliard -> Dati,1,383,383.0
2026-01-19,ian_brossat,emmanuel_gregoire,Brossat -> Gregoire,7,2569,367.0
2026-01-19,rachida_dati,emmanuel_gregoire,Dati -> Gregoire,1,178,178.0
2026-01-19,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,3,2836,945.3333333333334
2026-01-19,sophia_chikirou,rachida_dati,Chikirou -> Dati,2,1619,809.5
2026-01-26,david_belliard,emmanuel_gregoire,Belliard -> Gregoire,2,182,91.0
2026-01-26,emmanuel_gregoire,rachida_dati,Gregoire -> Dati,1,141,141.0
2026-01-26,ian_brossat,emmanuel_gregoire,Brossat -> Gregoire,5,4201,840.2
2026-01-26,pierre_yves_bournazel,emmanuel_gregoire,Bournazel -> Gregoire,2,499,249.5
2026-01-26,pierre_yves_bournazel,rachida_dati,Bournazel -> Dati,2,133,66.5
2026-01-26,sarah_knafo,emmanuel_gregoire,Knafo -> Gregoire,1,18135,18135.0
2026-01-26,sophia_chikirou,emmanuel_gregoire,Chikirou -> Gregoire,4,4020,1005.0
2026-01-26,sophia_chikirou,pierre_yves_bournazel,Chikirou -> Bournazel,2,3563,1781.5
2026-01-26,sophia_chikirou,rachida_dati,Chikirou -> Dati,3,3919,1306.3333333333333
