candidate_id,candidate_label,platform_1,platform_2,spearman_rho,p_value,n_weeks,synchrony
david_belliard,D. Belliard (EELV),twitter,instagram,0.516,0.0004,43,modéré
emmanuel_gregoire,E. Grégoire (PS),twitter,instagram,0.699,0.0,55,synchronisé
ian_brossat,I. Brossat (PCF),twitter,instagram,0.205,0.133,55,indépendant
pierre_yves_bournazel,P-Y. Bournazel (Horizons),twitter,instagram,0.821,0.0,53,synchronisé
rachida_dati,R. Dati (LR),twitter,instagram,0.235,0.1286,43,indépendant
sarah_knafo,S. Knafo (Reconquête),twitter,instagram,0.493,0.0001,56,modéré
sophia_chikirou,S. Chikirou (LFI),twitter,instagram,-0.004,0.9761,49,indépendant
thierry_mariani,T. Mariani (RN),twitter,instagram,0.21,0.3041,26,indépendant
emmanuel_gregoire,E. Grégoire (PS),twitter,tiktok,-0.117,0.765,9,indépendant
sarah_knafo,S. Knafo (Reconquête),twitter,tiktok,-0.5,0.1705,9,indépendant
sophia_chikirou,S. Chikirou (LFI),twitter,tiktok,-0.309,0.1984,19,indépendant
emmanuel_gregoire,E. Grégoire (PS),instagram,tiktok,-0.633,0.0671,9,indépendant
sarah_knafo,S. Knafo (Reconquête),instagram,tiktok,0.583,0.0992,9,modéré
sophia_chikirou,S. Chikirou (LFI),instagram,tiktok,-0.311,0.1957,19,indépendant
