year_week,interactions_total,volume,week_start,er_ecosystem,candidate_id,candidate_label,er_gregoire_solo
2025-W01,405,4,2025-01-02,0.0004560810810810811,ecosysteme_gauche,Écosystème Gauche Unie,
2025-W02,6228,45,2025-01-06,0.0006234234234234234,ecosysteme_gauche,Écosystème Gauche Unie,0.0005080645161290322
2025-W03,22760,48,2025-01-13,0.002135885885885886,ecosysteme_gauche,Écosystème Gauche Unie,0.0005564516129032258
2025-W04,28292,42,2025-01-20,0.0030343200343200343,ecosysteme_gauche,Écosystème Gauche Unie,0.0008225806451612903
2025-W05,67081,36,2025-01-27,0.008393518518518519,ecosysteme_gauche,Écosystème Gauche Unie,0.0007903225806451613
2025-W06,21108,28,2025-02-03,0.0033957528957528956,ecosysteme_gauche,Écosystème Gauche Unie,0.0008951612903225806
2025-W07,24024,41,2025-02-10,0.0026394199077125905,ecosysteme_gauche,Écosystème Gauche Unie,0.00037096774193548385
2025-W08,26080,31,2025-02-17,0.003789596047660564,ecosysteme_gauche,Écosystème Gauche Unie,0.0009193548387096774
2025-W09,13100,18,2025-02-24,0.0032782782782782784,ecosysteme_gauche,Écosystème Gauche Unie,0.0008548387096774194
2025-W10,14424,10,2025-03-03,0.006497297297297297,ecosysteme_gauche,Écosystème Gauche Unie,
2025-W11,18661,30,2025-03-10,0.0028019519519519517,ecosysteme_gauche,Écosystème Gauche Unie,0.001161290322580645
2025-W12,13820,42,2025-03-17,0.0014821964821964823,ecosysteme_gauche,Écosystème Gauche Unie,0.0006290322580645161
2025-W13,21845,55,2025-03-24,0.0017891072891072892,ecosysteme_gauche,Écosystème Gauche Unie,0.0004354838709677419
2025-W14,76538,32,2025-03-31,0.01077393018018018,ecosysteme_gauche,Écosystème Gauche Unie,0.0008467741935483871
2025-W15,16621,45,2025-04-07,0.0016637637637637638,ecosysteme_gauche,Écosystème Gauche Unie,0.0010483870967741935
2025-W16,22853,22,2025-04-14,0.004679156429156429,ecosysteme_gauche,Écosystème Gauche Unie,0.0015645161290322581
2025-W17,12080,44,2025-04-21,0.0012366912366912368,ecosysteme_gauche,Écosystème Gauche Unie,0.00027419354838709674
2025-W18,9700,28,2025-04-28,0.0015604890604890606,ecosysteme_gauche,Écosystème Gauche Unie,0.0006048387096774194
2025-W19,690,9,2025-05-06,0.00034534534534534536,ecosysteme_gauche,Écosystème Gauche Unie,0.0006129032258064516
2025-W20,8138,26,2025-05-12,0.00140990990990991,ecosysteme_gauche,Écosystème Gauche Unie,0.0009354838709677419
2025-W21,29201,37,2025-05-19,0.003555028000973947,ecosysteme_gauche,Écosystème Gauche Unie,0.0007258064516129033
2025-W22,10325,40,2025-05-26,0.0011627252252252253,ecosysteme_gauche,Écosystème Gauche Unie,0.0009354838709677419
2025-W23,2242,8,2025-06-03,0.0012623873873873874,ecosysteme_gauche,Écosystème Gauche Unie,
2025-W24,743,10,2025-06-09,0.0003346846846846847,ecosysteme_gauche,Écosystème Gauche Unie,0.0008709677419354839
2025-W25,7860,56,2025-06-16,0.0006322393822393822,ecosysteme_gauche,Écosystème Gauche Unie,0.0013387096774193548
2025-W26,29477,81,2025-06-23,0.0016392503614725837,ecosysteme_gauche,Écosystème Gauche Unie,0.0010645161290322581
2025-W27,46706,84,2025-06-30,0.0025046117546117545,ecosysteme_gauche,Écosystème Gauche Unie,0.001435483870967742
2025-W28,24904,65,2025-07-07,0.0017258489258489258,ecosysteme_gauche,Écosystème Gauche Unie,0.0015080645161290322
2025-W29,87927,52,2025-07-14,0.007616683991683992,ecosysteme_gauche,Écosystème Gauche Unie,0.0011935483870967743
2025-W30,60623,61,2025-07-21,0.004476665189779944,ecosysteme_gauche,Écosystème Gauche Unie,0.000717741935483871
2025-W31,87642,23,2025-07-28,0.01716451233842538,ecosysteme_gauche,Écosystème Gauche Unie,0.0012903225806451613
2025-W32,28321,27,2025-08-04,0.004724891558224892,ecosysteme_gauche,Écosystème Gauche Unie,0.0017580645161290322
2025-W33,20041,31,2025-08-11,0.0029120895088637026,ecosysteme_gauche,Écosystème Gauche Unie,0.002838709677419355
2025-W34,10546,18,2025-08-18,0.002639139139139139,ecosysteme_gauche,Écosystème Gauche Unie,0.0022983870967741935
2025-W35,54767,46,2025-08-25,0.0053630043086564825,ecosysteme_gauche,Écosystème Gauche Unie,0.0011048387096774192
2025-W36,18643,44,2025-09-01,0.0019085790335790335,ecosysteme_gauche,Écosystème Gauche Unie,0.0011129032258064516
2025-W37,60621,60,2025-09-08,0.004551126126126126,ecosysteme_gauche,Écosystème Gauche Unie,0.0018709677419354838
2025-W38,80952,64,2025-09-15,0.005697635135135135,ecosysteme_gauche,Écosystème Gauche Unie,0.0029274193548387097
2025-W39,61774,75,2025-09-22,0.0037101501501501503,ecosysteme_gauche,Écosystème Gauche Unie,0.0008870967741935484
2025-W40,42508,67,2025-09-29,0.0028578727981713055,ecosysteme_gauche,Écosystème Gauche Unie,0.0013387096774193548
2025-W41,62285,88,2025-10-06,0.003188216625716626,ecosysteme_gauche,Écosystème Gauche Unie,0.0011129032258064516
2025-W42,168784,81,2025-10-13,0.009386275164052943,ecosysteme_gauche,Écosystème Gauche Unie,0.0009112903225806452
2025-W43,47690,36,2025-10-20,0.005967217217217217,ecosysteme_gauche,Écosystème Gauche Unie,0.004798387096774194
2025-W44,76055,79,2025-10-27,0.0043365834188619,ecosysteme_gauche,Écosystème Gauche Unie,0.0013709677419354838
2025-W45,25728,64,2025-11-03,0.0018108108108108108,ecosysteme_gauche,Écosystème Gauche Unie,0.0027903225806451613
2025-W46,56602,58,2025-11-10,0.004395930413171792,ecosysteme_gauche,Écosystème Gauche Unie,0.0011451612903225807
2025-W47,33769,56,2025-11-17,0.002716296653796654,ecosysteme_gauche,Écosystème Gauche Unie,0.003338709677419355
2025-W48,46554,54,2025-11-24,0.0038833833833833834,ecosysteme_gauche,Écosystème Gauche Unie,0.003338709677419355
2025-W49,44638,69,2025-12-01,0.002914088001044523,ecosysteme_gauche,Écosystème Gauche Unie,0.0016370967741935485
2025-W50,43022,61,2025-12-08,0.003176931029390046,ecosysteme_gauche,Écosystème Gauche Unie,0.0020080645161290323
2025-W51,20976,75,2025-12-15,0.0012598198198198198,ecosysteme_gauche,Écosystème Gauche Unie,0.0024112903225806453
2025-W52,52183,52,2025-12-22,0.004520356895356895,ecosysteme_gauche,Écosystème Gauche Unie,0.0026451612903225807
2026-W01,66003,53,2025-12-29,0.005609637939826619,ecosysteme_gauche,Écosystème Gauche Unie,0.00045161290322580643
2026-W02,80281,76,2026-01-05,0.004758238501659554,ecosysteme_gauche,Écosystème Gauche Unie,0.0019838709677419356
2026-W03,55648,90,2026-01-12,0.0027851851851851852,ecosysteme_gauche,Écosystème Gauche Unie,0.0023387096774193546
2026-W04,48074,79,2026-01-19,0.002741133538601893,ecosysteme_gauche,Écosystème Gauche Unie,0.00175
