candidate_id,year_week,er_median,er_mean,volume,interactions_total,likes_total,comments_total,shares_total,week_start,platform,candidate_label
david_belliard,2025-W01,0.0014642857142857144,0.0018080357142857143,4,405,184,186,35,2025-01-02,twitter,D. Belliard (EELV)
david_belliard,2025-W02,0.0007857142857142857,0.003105820105820106,27,4696,2898,861,937,2025-01-06,twitter,D. Belliard (EELV)
david_belliard,2025-W03,0.0005625,0.0009848214285714287,20,1103,593,402,108,2025-01-13,twitter,D. Belliard (EELV)
david_belliard,2025-W04,0.0015625,0.0015625,2,175,26,145,4,2025-01-20,twitter,D. Belliard (EELV)
david_belliard,2025-W22,0.0005714285714285715,0.0024067460317460316,9,1213,327,787,99,2025-05-27,twitter,D. Belliard (EELV)
david_belliard,2025-W23,0.0005535714285714286,0.005004464285714286,8,2242,1475,412,355,2025-06-03,twitter,D. Belliard (EELV)
david_belliard,2025-W24,0.0008303571428571429,0.0008883928571428571,4,199,125,55,19,2025-06-09,twitter,D. Belliard (EELV)
david_belliard,2025-W25,0.004089285714285715,0.0057321428571428575,5,1605,346,1181,78,2025-06-17,twitter,D. Belliard (EELV)
david_belliard,2025-W26,0.0007946428571428572,0.005318080357142857,16,4765,2889,1389,487,2025-06-23,twitter,D. Belliard (EELV)
david_belliard,2025-W27,0.0008571428571428571,0.005584586466165413,19,5942,3471,1724,747,2025-06-30,twitter,D. Belliard (EELV)
david_belliard,2025-W28,0.0006785714285714286,0.004274234693877551,14,3351,1754,836,761,2025-07-07,twitter,D. Belliard (EELV)
david_belliard,2025-W29,0.0005714285714285715,0.036944444444444446,9,18620,14731,1698,2191,2025-07-15,twitter,D. Belliard (EELV)
david_belliard,2025-W30,0.00042857142857142855,0.03522619047619047,9,17754,14711,485,2558,2025-07-21,twitter,D. Belliard (EELV)
david_belliard,2025-W31,0.0007857142857142857,0.03629821428571429,10,20327,14011,1699,4617,2025-07-28,twitter,D. Belliard (EELV)
david_belliard,2025-W32,0.00325,0.0036785714285714286,3,618,305,213,100,2025-08-06,twitter,D. Belliard (EELV)
david_belliard,2025-W33,0.0006964285714285714,0.003754464285714286,12,2523,960,1315,248,2025-08-11,twitter,D. Belliard (EELV)
david_belliard,2025-W34,0.0005535714285714287,0.0006071428571428572,4,136,81,27,28,2025-08-21,twitter,D. Belliard (EELV)
david_belliard,2025-W35,0.000625,0.023095982142857144,8,10347,7023,699,2625,2025-08-26,twitter,D. Belliard (EELV)
david_belliard,2025-W36,0.0004464285714285714,0.0009577922077922078,11,590,343,162,85,2025-09-01,twitter,D. Belliard (EELV)
david_belliard,2025-W37,0.0005089285714285714,0.015777901785714286,16,14137,10319,791,3027,2025-09-08,twitter,D. Belliard (EELV)
david_belliard,2025-W38,0.00020535714285714287,0.00028174603174603173,18,284,175,63,46,2025-09-15,twitter,D. Belliard (EELV)
david_belliard,2025-W39,0.0004642857142857143,0.0006122448979591838,14,480,271,117,92,2025-09-22,twitter,D. Belliard (EELV)
david_belliard,2025-W40,0.0003482142857142857,0.0022168367346938776,14,1738,1103,320,315,2025-09-29,twitter,D. Belliard (EELV)
david_belliard,2025-W41,0.00042857142857142855,0.002176691729323308,19,2316,1525,320,471,2025-10-06,twitter,D. Belliard (EELV)
david_belliard,2025-W42,0.00042857142857142855,0.09673136645962732,23,124590,95373,7563,21654,2025-10-13,twitter,D. Belliard (EELV)
david_belliard,2025-W43,0.0010535714285714287,0.01868131868131868,13,13600,11542,1208,850,2025-10-20,twitter,D. Belliard (EELV)
david_belliard,2025-W44,0.001892857142857143,0.006111842105263159,19,6503,3808,2026,669,2025-10-27,twitter,D. Belliard (EELV)
david_belliard,2025-W45,0.0005089285714285714,0.003256377551020408,28,5106,1302,3388,416,2025-11-03,twitter,D. Belliard (EELV)
david_belliard,2025-W46,0.0013214285714285715,0.014133503401360544,21,16621,11528,2951,2142,2025-11-10,twitter,D. Belliard (EELV)
david_belliard,2025-W47,0.0030357142857142857,0.004566729323308271,19,4859,2754,1367,738,2025-11-17,twitter,D. Belliard (EELV)
david_belliard,2025-W48,0.0017142857142857142,0.005494505494505494,13,4000,1032,2722,246,2025-11-24,twitter,D. Belliard (EELV)
david_belliard,2025-W49,0.002642857142857143,0.0060648496240601505,19,6453,2104,3661,688,2025-12-01,twitter,D. Belliard (EELV)
david_belliard,2025-W50,0.0024642857142857144,0.006780462184873949,17,6455,2281,3712,462,2025-12-08,twitter,D. Belliard (EELV)
david_belliard,2025-W51,0.003169642857142857,0.003963169642857142,16,3551,1173,2064,314,2025-12-15,twitter,D. Belliard (EELV)
david_belliard,2025-W52,0.0038035714285714287,0.0055025510204081635,7,2157,563,1418,176,2025-12-23,twitter,D. Belliard (EELV)
david_belliard,2026-W01,0.0037678571428571427,0.06410714285714286,11,39490,25098,5988,8404,2025-12-29,twitter,D. Belliard (EELV)
david_belliard,2026-W02,0.0024285714285714284,0.02401630434782609,23,30933,22475,2177,6281,2026-01-05,twitter,D. Belliard (EELV)
david_belliard,2026-W03,0.003830357142857143,0.004625,24,6216,3311,1920,985,2026-01-12,twitter,D. Belliard (EELV)
david_belliard,2026-W04,0.0021785714285714286,0.021554421768707484,21,25348,21820,1455,2073,2026-01-19,twitter,D. Belliard (EELV)
david_belliard,2026-W05,0.003142857142857143,0.006115546218487394,17,5822,3689,1509,624,2026-01-26,twitter,D. Belliard (EELV)
david_belliard,2026-W06,0.0016785714285714286,0.002557603686635945,31,4440,2446,1269,725,2026-02-02,twitter,D. Belliard (EELV)
david_belliard,2026-W07,0.0016964285714285714,0.0027095864661654135,19,2883,1340,836,707,2026-02-09,twitter,D. Belliard (EELV)
david_belliard,2026-W08,0.0018124999999999999,0.0025267857142857145,4,566,269,201,96,2026-02-16,twitter,D. Belliard (EELV)
emmanuel_gregoire,2025-W02,0.0005080645161290322,0.0006428571428571428,14,558,403,40,115,2025-01-07,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W03,0.0005564516129032258,0.0006075268817204301,6,226,163,20,43,2025-01-15,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W04,0.0008225806451612903,0.0011051893408134642,23,1576,998,278,300,2025-01-20,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W05,0.0007903225806451613,0.0028216318785578747,17,2974,866,1832,276,2025-01-27,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W06,0.0008951612903225806,0.0013252688172043009,18,1479,704,531,244,2025-02-03,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W07,0.00037096774193548385,0.0008264208909370199,21,1076,590,221,265,2025-02-10,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W08,0.0009193548387096774,0.0011110056925996204,17,1171,711,206,254,2025-02-17,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W09,0.0008548387096774194,0.0013440860215053762,12,1000,575,238,187,2025-02-24,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W11,0.001161290322580645,0.0023635235732009925,13,1905,1099,485,321,2025-03-10,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W12,0.0006290322580645161,0.0008870967741935484,25,1375,822,283,270,2025-03-17,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W13,0.0004354838709677419,0.0008028673835125447,18,896,583,113,200,2025-03-25,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W14,0.0008467741935483871,0.004021505376344086,6,1496,397,966,133,2025-03-31,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W15,0.0010483870967741935,0.0017246941045606229,29,3101,1448,1116,537,2025-04-07,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W16,0.0015645161290322581,0.0014064516129032258,10,872,534,158,180,2025-04-14,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W17,0.00027419354838709674,0.0007222782258064516,32,1433,729,538,166,2025-04-21,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W18,0.0006048387096774194,0.0011431451612903226,16,1134,539,416,179,2025-04-28,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W19,0.0006129032258064516,0.0012365591397849461,9,690,342,225,123,2025-05-06,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W20,0.0009354838709677419,0.0013900293255131963,22,1896,1134,370,392,2025-05-12,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W21,0.0007258064516129033,0.0009623655913978494,21,1253,765,227,261,2025-05-19,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W22,0.0009354838709677419,0.0018709677419354838,11,1276,513,617,146,2025-05-26,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W24,0.0008709677419354839,0.0014623655913978495,6,544,196,273,75,2025-06-13,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W25,0.0013387096774193548,0.0019781783681214423,51,6255,3290,1857,1108,2025-06-16,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W26,0.0010645161290322581,0.0014786196549137283,43,3942,2240,902,800,2025-06-23,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W27,0.001435483870967742,0.0022539288668320927,39,5450,3491,1081,878,2025-06-30,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W28,0.0015080645161290322,0.0020053763440860215,36,4476,2532,1173,771,2025-07-07,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W29,0.0011935483870967743,0.0017983870967741935,16,1784,1174,170,440,2025-07-14,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W30,0.000717741935483871,0.0019251152073732718,28,3342,1945,784,613,2025-07-21,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W31,0.0012903225806451613,0.0012903225806451613,2,160,108,20,32,2025-07-31,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W32,0.0017580645161290322,0.002696029776674938,13,2173,1270,399,504,2025-08-04,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W33,0.002838709677419355,0.0034493087557603687,7,1497,953,236,308,2025-08-11,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W34,0.0022983870967741935,0.0023870967741935487,8,1184,737,215,232,2025-08-20,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W35,0.0011048387096774192,0.0014045698924731182,12,1045,540,299,206,2025-08-25,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W36,0.0011129032258064516,0.0013845500848896435,19,1631,1025,212,394,2025-09-01,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W37,0.0018709677419354838,0.004152605459057072,13,3347,1642,1156,549,2025-09-08,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W38,0.0029274193548387097,0.00355241935483871,16,3524,1989,711,824,2025-09-15,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W39,0.0008870967741935484,0.001955141129032258,32,3879,1446,1826,607,2025-09-22,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W40,0.0013387096774193548,0.002310967741935484,25,3582,1840,1004,738,2025-09-29,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W41,0.0011129032258064516,0.0015107526881720428,24,2248,1290,399,559,2025-10-07,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W42,0.0009112903225806452,0.0031584101382488476,28,5483,2566,2105,812,2025-10-13,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W43,0.004798387096774194,0.005298387096774194,6,1971,811,822,338,2025-10-21,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W44,0.0013709677419354838,0.006117866004962779,26,9862,5450,2588,1824,2025-10-27,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W45,0.0027903225806451613,0.008741935483870969,11,5962,3565,1164,1233,2025-11-03,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W46,0.0011451612903225807,0.001603942652329749,9,895,655,21,219,2025-11-10,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W47,0.003338709677419355,0.0038476702508960575,9,2147,1600,31,516,2025-11-18,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W48,0.003338709677419355,0.0060821114369501465,11,4148,2553,883,712,2025-11-24,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W49,0.0016370967741935485,0.0024369501466275662,22,3324,2307,147,870,2025-12-01,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W50,0.0020080645161290323,0.00281158357771261,22,3835,3003,56,776,2025-12-08,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W51,0.0024112903225806453,0.0034139784946236556,36,7620,5072,1177,1371,2025-12-15,twitter,E. Grégoire (PS)
emmanuel_gregoire,2025-W52,0.0026451612903225807,0.00728405017921147,18,8129,4630,2380,1119,2025-12-22,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W01,0.00045161290322580643,0.0009921798631476052,33,2030,1544,18,468,2025-12-30,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W02,0.0019838709677419356,0.0026748178980228925,31,5141,3718,264,1159,2026-01-05,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W03,0.0023387096774193546,0.003579696394686907,34,7546,4025,2287,1234,2026-01-12,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W04,0.00175,0.002205376344086021,30,4102,2995,191,916,2026-01-19,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W05,0.0017741935483870969,0.0035336021505376347,36,7887,6169,386,1332,2026-01-26,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W06,0.0026370967741935485,0.002786290322580645,24,4146,2918,220,1008,2026-02-02,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W07,0.0020161290322580645,0.0022903225806451613,37,5254,3456,638,1160,2026-02-09,twitter,E. Grégoire (PS)
emmanuel_gregoire,2026-W08,0.00125,0.0015387096774193549,10,954,610,96,248,2026-02-16,twitter,E. Grégoire (PS)
ian_brossat,2025-W02,0.0022596153846153847,0.002341346153846154,4,974,605,197,172,2025-01-10,twitter,I. Brossat (PCF)
ian_brossat,2025-W03,0.004182692307692307,0.009366695804195803,22,21431,14038,2519,4874,2025-01-13,twitter,I. Brossat (PCF)
ian_brossat,2025-W04,0.006923076923076923,0.015011877828054299,17,26541,17967,3820,4754,2025-01-20,twitter,I. Brossat (PCF)
ian_brossat,2025-W05,0.010394230769230768,0.03244281376518219,19,64107,48848,9069,6190,2025-01-27,twitter,I. Brossat (PCF)
ian_brossat,2025-W06,0.008927884615384615,0.018874038461538463,10,19629,13560,3077,2992,2025-02-03,twitter,I. Brossat (PCF)
ian_brossat,2025-W07,0.003951923076923077,0.011032692307692308,20,22948,14674,4592,3682,2025-02-10,twitter,I. Brossat (PCF)
ian_brossat,2025-W08,0.013721153846153846,0.01710782967032967,14,24909,18055,2593,4261,2025-02-17,twitter,I. Brossat (PCF)
ian_brossat,2025-W09,0.01975,0.01939102564102564,6,12100,8326,1929,1845,2025-02-26,twitter,I. Brossat (PCF)
ian_brossat,2025-W10,0.003663461538461538,0.013869230769230769,10,14424,10272,1997,2155,2025-03-03,twitter,I. Brossat (PCF)
ian_brossat,2025-W11,0.006423076923076923,0.00947737556561086,17,16756,12479,1498,2779,2025-03-10,twitter,I. Brossat (PCF)
ian_brossat,2025-W12,0.003471153846153846,0.007039027149321267,17,12445,8347,1687,2411,2025-03-17,twitter,I. Brossat (PCF)
ian_brossat,2025-W13,0.0014807692307692308,0.005444126819126819,37,20949,13344,4020,3585,2025-03-24,twitter,I. Brossat (PCF)
ian_brossat,2025-W14,0.013370192307692309,0.02775221893491124,26,75042,56347,7306,11389,2025-03-31,twitter,I. Brossat (PCF)
ian_brossat,2025-W15,0.004201923076923077,0.008125,16,13520,8646,2801,2073,2025-04-07,twitter,I. Brossat (PCF)
ian_brossat,2025-W16,0.005269230769230769,0.01761298076923077,12,21981,16001,1877,4103,2025-04-14,twitter,I. Brossat (PCF)
ian_brossat,2025-W17,0.004490384615384615,0.008531249999999999,12,10647,7523,1388,1736,2025-04-21,twitter,I. Brossat (PCF)
ian_brossat,2025-W18,0.0027307692307692306,0.006863782051282051,12,8566,5239,2170,1157,2025-04-28,twitter,I. Brossat (PCF)
ian_brossat,2025-W20,0.008336538461538461,0.015004807692307692,4,6242,2945,3008,289,2025-05-16,twitter,I. Brossat (PCF)
ian_brossat,2025-W21,0.00766826923076923,0.01679567307692308,16,27948,21900,2886,3162,2025-05-19,twitter,I. Brossat (PCF)
ian_brossat,2025-W22,0.0029375,0.003767307692307692,20,7836,4124,2643,1069,2025-05-26,twitter,I. Brossat (PCF)
ian_brossat,2025-W26,0.005096153846153846,0.009077797202797203,22,20770,14685,3089,2996,2025-06-23,twitter,I. Brossat (PCF)
ian_brossat,2025-W27,0.006086538461538462,0.013059911242603549,26,35314,23645,6790,4879,2025-06-30,twitter,I. Brossat (PCF)
ian_brossat,2025-W28,0.0074423076923076925,0.010946794871794872,15,17077,9156,5495,2426,2025-07-07,twitter,I. Brossat (PCF)
ian_brossat,2025-W29,0.011778846153846154,0.024046652421652423,27,67523,46644,5517,15362,2025-07-14,twitter,I. Brossat (PCF)
ian_brossat,2025-W30,0.011759615384615386,0.01583613782051282,24,39527,28293,3146,8088,2025-07-21,twitter,I. Brossat (PCF)
